,L_qpc,max_time,tsteps,bond_index,band_width,k0,J_prime,t,Omega,vg,time_at_bond,bond_fit_error,time_f_free,time_f_int,xf_avg_free,xf_avg_int,Transmision_tot,Transmission_k0,r_density_free,r_density_int,last_density_free,last_density_int,last_density_max,time_last_density_max,bond_density_max,min_purity,max_VN_entropy,entanglement_timeskip,T_mean,ddot0,kick
0,14,9.0,300,7,0.5,1.1780972450961724,1.0,0.4,0.0,1.8477590650225735,1.696110438458581,0.011375039299256358,7.5767454020467575,7.649267540066748,11.565019166116251,11.61163750020512,0.5526747845984682,0.5812242949361085,0.8572811476547095,0.863192210438091,0.5886369214366911,0.6127516192649296,0.7167527448003219,8.127090301003344,0.5410004359979941,0.9999999787179932,2.0599440836330777e-07,20,0.9199884935965733,second,0.0
1,14,9.0,300,7,2.0,0.9817477042468103,1.0,0.4,0.0,1.6629392246050902,1.9763656519852288,0.013518222379646037,8.418828417090635,8.591159408270727,11.237285020223533,11.1120729780025,0.4667928121206816,0.49079057967717715,0.9235092714857644,0.9205202467957092,0.31668487480760477,0.24965220034719018,0.5959154751739303,7.464882943143813,0.4764119355493144,0.9999999668185668,3.138038270675104e-07,20,0.9182579115911863,fixed,0.0
2,14,9.0,300,7,0.5,1.5707963267948966,1.0,0.9,0.0,2.0,1.6929711343073,0.011372343666445545,7.0,7.1929711343072995,10.951868783900679,11.180118654596644,0.6146281298595608,0.711599560857999,0.8351482953019684,0.8343871243242207,0.3306396305221377,0.4138356567197834,0.7180024020606433,8.127090301003344,0.542169057826265,0.9999999817121599,1.7839950180634987e-07,20,0.9203698706868696,fixed,0.0
3,14,9.0,300,7,2.0,0.9817477042468103,1.0,0.9,0.5,1.6629392246050902,1.9356048271905073,0.014745727673511063,8.418828417090635,8.550398583476007,9.456989377429943,9.385239185151626,0.1996241075156937,0.19417039572469771,0.7216505120013387,0.7203660665111637,0.3326592014581604,0.2947455073219638,0.43828526661419615,7.765886287625419,0.6118617002056207,0.9255329383995747,0.16389913815700233,20,0.7189743478042115,second,0.7657928253718775
4,14,9.0,300,7,2.0,0.5235987755982988,1.0,0.9,0.7,0.9999999999999999,2.114657535351092,0.027776272675220967,14.000000000000002,13.114657535351093,7.771510274447159,7.771510274447159,0.061028557809593084,0.04543397493311397,0.5087876951433392,0.5087876951433392,0.09602775488503805,0.09602775488503805,0.2572618894385049,7.7959866220735785,0.42070725920271523,0.9129445443944881,0.18537371310208134,20,0.49709210891236166,fixed,0.8642583359029289
5,14,9.0,300,7,2.0,0.9817477042468103,1.0,0.2,0.7,1.6629392246050902,2.0104061151072354,0.009491597981532825,8.418828417090635,8.625199871392734,8.424916273207957,8.214041988715506,0.15041572144809068,0.14334520086873762,0.6112025060864438,0.6011365228646137,0.22788697489334622,0.16642735188586422,0.43230526638299827,7.404682274247492,0.5221464102914906,0.6950513659533304,0.4828838527713768,20,0.6036359114679711,fixed,0.8833606729130253
6,14,9.0,300,7,0.5,0.7853981633974483,1.0,0.9,0.0,1.414213562373095,1.7044421359036495,0.011377740240158328,9.899494936611665,9.482616728955673,11.413474175942188,11.413474175942188,0.5009494607588951,0.3815135418411637,0.9263127632303811,0.9263127632303811,0.3834530447751718,0.3834530447751718,0.7135874272835915,8.157190635451505,0.5379714836417748,0.9999999329207956,6.107742532907014e-07,20,0.9188798231096444,second,0.0
7,14,9.0,300,7,2.0,0.39269908169872414,1.0,0.9,0.0,0.7653668647301796,3.511109704920584,0.039550955498683336,18.29188150826927,17.883302318560727,10.088417137497903,10.088417137497903,0.17918203327809823,0.1336084642812005,0.7454569885738795,0.7454569885738795,0.20182099708783785,0.20182099708783785,0.31823267562301494,8.157190635451505,0.3575366612938654,0.999999954560731,4.2258603628819115e-07,20,0.7223632314695019,second,0.0
8,14,9.0,300,7,2.0,1.1780972450961724,1.0,0.2,0.7,1.8477590650225735,1.9229474394386505,0.008100028104671196,7.5767454020467575,7.876104541046817,8.372719678845112,8.236257496688921,0.19778806765284243,0.19417039572469771,0.6125012603204527,0.62197637073652,0.4282627783286125,0.3911363760334773,0.42944424547121035,7.525083612040134,0.6705652341769979,0.6467331466381899,0.5382318931491212,20,0.6251091124680613,second,1.0733697730899856
9,14,9.0,300,7,0.5,1.3744467859455345,1.0,0.9,0.0,1.9615705608064609,1.6937587591446293,0.011373703314077652,7.137138107458228,7.30151012929038,11.103241355528846,11.31447894159439,0.5828410747904292,0.6538719231688591,0.833900542470573,0.8380287982126415,0.3843986464995087,0.4698111104665408,0.717680372047036,8.127090301003344,0.541872660509839,0.9999999755780902,2.3470594055811536e-07,20,0.9202688216636331,second,0.0
10,14,9.0,300,7,2.0,0.39269908169872414,1.0,0.9,0.0,0.7653668647301796,3.5114329506265602,0.03955970497395987,18.29188150826927,17.8836255642667,10.087922561434446,10.087922561434446,0.17918203327809823,0.1336084642812005,0.7453851367049428,0.7453851367049428,0.2017942780190212,0.2017942780190212,0.31817953625041884,8.157190635451505,0.3575096097841456,0.9999999841940604,1.5534099161497332e-07,20,0.7222910708916701,fixed,0.0
11,14,9.0,300,7,0.5,0.9817477042468103,1.0,0.0,0.5,1.6629392246050902,1.73697535198988,0.008266874361826262,8.418828417090635,8.351769108275379,7.784165473501312,7.827104511748664,0.30435789615024395,0.19417039572469771,0.5100422579748403,0.5066014773042311,0.4087071072623715,0.40666872270856974,0.4087071072623715,8.42809364548495,0.7511642053743558,0.9999999999999996,2.2204460492503126e-16,20,0.5105494667059378,second,0.7623484373884216
12,14,9.0,300,7,0.5,0.39269908169872414,1.0,0.0,0.0,0.7653668647301796,1.7136103820548905,0.011366782080574678,18.29188150826927,16.085802995695033,11.450292640708055,11.450292640708055,0.46647433855860865,0.1336084642812005,0.9259908259257151,0.9259908259257151,0.41090374260417806,0.41090374260417806,0.7101917176359636,8.187290969899665,0.5348905924433628,0.9999999999999996,2.2204460492503126e-16,20,0.917180083783374,second,0.0
13,14,9.0,300,7,0.5,1.3744467859455345,1.0,0.2,0.3,1.9615705608064609,1.6969207058096747,0.011071270410136575,7.137138107458228,7.304672075955425,10.622156342962459,10.82023371117311,0.4316852428410294,0.4246032417403076,0.7856667772830966,0.7886845883856989,0.327209294651394,0.40676253200767976,0.6736985840166517,8.187290969899665,0.6086326742646486,0.9366109729153034,0.144237039826201,20,0.8759588900688969,second,0.3843916089483136
14,14,9.0,300,7,0.5,0.5235987755982988,1.0,0.2,0.7,0.9999999999999999,1.7207336351985503,0.010173130019021552,14.000000000000002,12.720733635198552,9.225369439417097,9.225369439417097,0.21134706843478226,0.04543397493311397,0.721484747665812,0.721484747665812,0.3458242483168946,0.3458242483168946,0.5294212328947222,8.307692307692308,0.6670354057849582,0.702493842848183,0.47412217245611454,20,0.7132297827524725,second,0.9818647516765612
15,14,9.0,300,7,2.0,0.5235987755982988,1.0,0.9,0.3,0.9999999999999999,2.1545887607379983,0.034321079385531694,14.000000000000002,13.154588760738001,9.74292758891545,9.74292758891545,0.12073700353891173,0.09673275182260706,0.7150742337556765,0.7150742337556765,0.18582668874161637,0.18582668874161637,0.3450587362721026,8.006688963210703,0.40461450421190565,0.9837469463552884,0.04752558979692036,20,0.7009154213477464,fixed,0.3748937330436136
16,14,9.0,300,7,2.0,0.9817477042468103,1.0,0.2,0.3,1.6629392246050902,1.9948746524641785,0.012153451284723074,8.418828417090635,8.609668408749677,10.618316934977152,10.45819111226575,0.2736354824797414,0.27351743701681286,0.8411533992879652,0.8353414117654017,0.32608262155184936,0.25301332990807,0.5586411086939782,7.494983277591974,0.4994448479548508,0.9321943634371499,0.15217012203096159,20,0.8344222003172355,fixed,0.3728547048686686
17,14,9.0,300,7,2.0,0.7853981633974483,1.0,0.0,0.0,1.414213562373095,2.0519768054477745,0.020494497251398094,9.899494936611665,9.830151398499797,10.715504996629598,10.715504996629598,0.3683540083346771,0.3815135418411637,0.8692488335819364,0.8692488335819364,0.1518005762334136,0.1518005762334136,0.49557059739524756,7.6755852842809364,0.44186296159681726,0.9999999999999993,3.330669073875469e-16,20,0.8761622348551439,second,0.0
18,14,9.0,300,7,0.5,0.9817477042468103,1.0,0.4,0.1,1.6629392246050902,1.7062097068159399,0.011058765879789443,8.418828417090635,8.321003463101437,11.750447535304113,11.778796954998533,0.4672986547427894,0.40095561427280174,0.9141567129647714,0.9096461265090218,0.6745703187405245,0.7021538894552792,0.7154375634832412,8.157190635451505,0.5405211028674763,0.9959752086489831,0.014529417803583782,20,0.9115051429538827,second,0.11404334500538581
19,14,9.0,300,7,2.0,0.7853981633974483,1.0,0.9,0.0,1.414213562373095,2.052090451323094,0.02049533014584693,9.899494936611665,9.830265044375118,10.715339535083155,10.715339535083155,0.3683540083346771,0.3815135418411637,0.869265424884111,0.869265424884111,0.15182813753592078,0.15182813753592078,0.49557957161291877,7.6755852842809364,0.4418159764375553,0.9999999330121438,6.099881398386411e-07,20,0.8761666937994239,fixed,0.0
