,L_qpc,max_time,tsteps,bond_index,band_width,k0,J_prime,t,Omega,vg,time_at_bond,bond_fit_error,time_f_free,time_f_int,xf_avg_free,xf_avg_int,Transmision_tot,Transmission_k0,r_density_free,r_density_int,last_density_free,last_density_int,last_density_max,time_last_density_max,bond_density_max,min_purity,max_VN_entropy,entanglement_timeskip,T_mean,ddot0,kick,theta_f,phi_f,delta_phi,dd_density_hit
1567,21,18.0,400,7,2.0,1.1780972450961724,1.0,0.4,0.1,1.8477590650225735,1.9247929665826318,0.010625771078302667,11.365118103070136,11.666322769214176,17.94209950961909,17.94209950961909,0.4725683025529315,0.49079057967717693,0.9702265885134995,0.9702265885134995,0.5600954708610373,0.5600954708610373,0.5852712182329323,11.052631578947368,0.5367070463380519,0.9961767224674143,0.013899228982268898,10,0.8312310130836247,fixed,0.128862213492275,2.1493234602223876,1.4707939792342162,0.10000234756068038,0.029166579245003123
1568,21,18.0,400,7,2.0,0.37699111843077515,1.0,4.0,0.5,0.7362491053693558,2.265311582207844,0.05947838475711411,28.522954862491655,26.713558607200692,11.820274967200096,11.820274967200096,0.05796135985093774,0.03431146957197811,0.7416419394985573,0.7416419394985573,0.044758159603098306,0.044758159603098306,0.2039876110461513,12.045112781954886,0.3898198361363727,0.9994501739022486,0.0025295226274570913,10,0.7042361060514369,fixed,0.9100100099787765,1.187374673469972,1.5242940095513948,0.046502317243501734,0.004733794718743811
1569,21,18.0,400,7,2.0,0.7853981633974483,1.0,0.4,0.3,1.414213562373095,2.053800801348331,0.02562222983939983,14.849242404917499,14.781722862706188,13.755997873043803,13.755997873043803,0.20328461132122044,0.19417039572469771,0.8669296053656428,0.8669296053656428,0.07869074351451548,0.07869074351451548,0.3647198293870036,11.458646616541353,0.4789293642241851,0.9553092943495041,0.10900137110585659,10,0.7385269606504151,fixed,0.4881339180263808,2.1154801529077885,-1.2167844171754159,2.787580743970312,0.0400946572275055
1570,21,18.0,400,7,2.0,0.5340707511102649,1.0,3.5,0.1,1.0180828315007426,2.1925259133173127,0.047741167260094405,20.62700533810611,19.87281620312255,13.268166532873217,13.268166532873217,0.1895796252845695,0.16532943902470618,0.8417892365236845,0.8417892365236845,0.040794548838315056,0.040794548838315056,0.2897114336031036,11.729323308270676,0.3998514034398205,0.9999846129366388,9.828653956636637e-05,10,0.8538462307484612,fixed,0.17150478514234407,2.1265021832859548,1.5587124376474688,0.012083889147427751,0.8617353382310309
1571,21,18.0,400,7,0.5,1.1780972450961724,1.0,0.7,0.4,1.8477590650225735,1.6796665750090627,0.010143736887899811,11.365118103070136,11.421196377640609,17.190146778023028,17.190146778023028,0.3632302321096209,0.29990042665972183,0.9183966504662215,0.9183966504662215,0.5034117470983264,0.5034117470983264,0.5034117470983264,11.32330827067669,0.6076086456862678,0.9618470962666192,0.09591021723737002,10,0.7047018458142736,fixed,0.51061101922765,2.2157559392245383,1.234048434889442,0.3367478919054545,0.59347937376891
1572,21,18.0,400,7,0.5,0.7853981633974483,1.0,0.6,0.2,1.414213562373095,1.7046078345353588,0.012419932860590779,14.849242404917499,14.432529895893216,15.358221532318318,15.694187681697713,0.39343586461328983,0.23938149648674747,0.9590137093834081,0.9449385420560547,0.15138932958761034,0.10292289788399266,0.5624537824099161,11.909774436090224,0.6217529975905869,0.9821836823492578,0.051302244068776016,10,0.8453554375008051,fixed,0.2923640945484703,2.9253363135086006,0.5366955008588578,1.0341008259360387,0.26288692715690126
1573,21,18.0,400,7,0.5,0.5235987755982988,1.0,0.01,0.2,0.9999999999999999,1.7113296510498532,0.015437298938209667,21.000000000000004,19.711329651049855,11.290693834423953,11.290693834423953,0.36842136332349773,0.12271108971108753,0.7602842906812338,0.7602842906812338,0.0050761342372863515,0.0050761342372863515,0.6087556115875918,11.864661654135338,0.5353689988279786,0.9994874911749373,0.0023758196614560028,10,0.9390470602630858,fixed,0.2828535391049805,0.27136439382961286,1.4505875626641618,0.12020876413073478,0.9987913300592296
1574,21,18.0,400,7,2.0,0.7853981633974483,1.0,0.3,0.0,1.414213562373095,2.0516306866130853,0.02415697533266826,14.849242404917499,14.779552747970943,15.301546073069403,15.301546073069403,0.3683540083346771,0.3815135418411637,0.9603857040149746,0.9603857040149746,0.09792980747050771,0.09792980747050771,0.4045934580460233,11.368421052631579,0.44138982307686786,0.9999754500626561,0.0001510813100010376,10,0.8659445933129268,fixed,0.0,1.507401223927729,1.5611070866918408,0.009689240103055718,0.2445043011262078
1575,21,18.0,400,7,0.5,0.7853981633974483,1.0,0.1,0.1,1.414213562373095,1.7069831944644456,0.011221175295264684,14.849242404917499,14.434905255822303,15.513645069852512,15.915960203051068,0.4429380450198222,0.2999004266597217,0.9813762408639269,0.9779748611463127,0.14582090633547576,0.10852153447523591,0.6102763114841934,11.81954887218045,0.5404279553468695,0.9933691346074707,0.02230141001230729,10,0.8881840183542392,fixed,0.12324438327301307,2.5831063386282835,1.3506885158429216,0.22010781095197496,0.8817156855846497
1576,21,18.0,400,7,0.5,1.1780972450961724,1.0,0.0,0.7,1.8477590650225735,1.6965068146051299,0.01273951922670893,11.365118103070136,11.438036617236676,17.716365910654417,17.716365910654417,0.2735889852222755,0.19417039572469771,0.9630859208737583,0.9630859208737583,0.5403567553910505,0.5403567553910505,0.5403567553910505,11.32330827067669,0.5406298401566518,0.9999999999999922,3.885780586188041e-15,10,0.7359582413868576,fixed,0.8346964367508156,0.0,,,1.0
1577,21,18.0,400,7,0.5,1.1780972450961724,1.0,0.1,0.3,1.8477590650225735,1.707478541992896,0.012025137462816747,11.365118103070136,11.449008344624442,17.216849206192194,17.216849206192194,0.4015597508502798,0.3515561455133493,0.9225890194665379,0.9225890194665379,0.5226812951177099,0.5226812951177099,0.5226812951177099,11.32330827067669,0.5569111443823773,0.9338605177965718,0.1491927107364261,10,0.7084088026726294,fixed,0.36421316096543227,2.0377804691711265,1.1508744746041837,0.4199218521907129,0.8824392203495529
